,Delta,Energy,Delta E
0,0.6029736406798112,-4.0,3.998
1,0.6027795292605087,-3.998,0.0019999999999997797
2,0.6025852829138026,-3.996,0.002000000000000224
3,0.60239090128662,-3.994,0.0019999999999997797
4,0.6021963840257247,-3.992,0.002000000000000224
5,0.6020017307712997,-3.99,0.0019999999999997797
6,0.601806941165363,-3.988,0.002000000000000224
7,0.6016120148521962,-3.986,0.0019999999999997797
8,0.601416951469337,-3.984,0.002000000000000224
9,0.6012217506546876,-3.982,0.0019999999999997797
10,0.6010264120461335,-3.98,0.002000000000000224
11,0.6008309352748343,-3.978,0.0019999999999997797
12,0.6006353199759954,-3.976,0.002000000000000224
13,0.6004395657812085,-3.974,0.0019999999999997797
14,0.6002436723207814,-3.972,0.002000000000000224
15,0.6000476392217167,-3.97,0.0019999999999997797
16,0.5998514661164778,-3.968,0.002000000000000224
17,0.599655152625154,-3.966,0.0019999999999997797
18,0.5994586983736148,-3.964,0.002000000000000224
19,0.5992621029844492,-3.962,0.0019999999999997797
20,0.5990653660784457,-3.96,0.002000000000000224
21,0.5988684872769954,-3.958,0.0019999999999997797
22,0.5986714661940266,-3.956,0.002000000000000224
23,0.5984743024455637,-3.954,0.0019999999999997797
24,0.5982769956499208,-3.952,0.002000000000000224
25,0.598079545418224,-3.95,0.0019999999999997797
26,0.5978819513616702,-3.948,0.002000000000000224
27,0.5976842130918463,-3.946,0.0019999999999997797
28,0.5974863302129938,-3.944,0.002000000000000224
29,0.5972883023332187,-3.942,0.0019999999999997797
30,0.5970901290573543,-3.94,0.002000000000000224
31,0.5968918099885607,-3.938,0.0019999999999997797
32,0.5966933447263023,-3.936,0.002000000000000224
33,0.5964947328757031,-3.934,0.0019999999999997797
34,0.596295974029178,-3.932,0.002000000000000224
35,0.5960970677845319,-3.93,0.0019999999999997797
36,0.5958980137368692,-3.928,0.002000000000000224
37,0.5956988114786617,-3.926,0.0019999999999997797
38,0.5954994606028975,-3.924,0.002000000000000224
39,0.5952999606952973,-3.922,0.0019999999999997797
40,0.5951003113434983,-3.92,0.002000000000000224
41,0.594900512136881,-3.918,0.0019999999999997797
42,0.5947005626576617,-3.916,0.002000000000000224
43,0.5945004624881,-3.914,0.0019999999999997797
44,0.5943002112106864,-3.912,0.002000000000000224
45,0.5940998084001171,-3.91,0.0019999999999997797
46,0.5938992536353109,-3.908,0.002000000000000224
47,0.593698546491146,-3.906,0.0019999999999997797
48,0.5934976865410106,-3.904,0.002000000000000224
49,0.593296673354351,-3.902,0.0019999999999997797
50,0.5930955065063541,-3.9,0.002000000000000224
51,0.592894185558596,-3.898,0.0019999999999997797
52,0.5926927100792427,-3.896,0.002000000000000224
53,0.5924910796319574,-3.894,0.0019999999999997797
54,0.5922892937786618,-3.892,0.002000000000000224
55,0.5920873520812767,-3.89,0.0019999999999997797
56,0.5918852540945778,-3.888,0.002000000000000224
57,0.5916829993743979,-3.886,0.0019999999999997797
58,0.5914805874791507,-3.884,0.002000000000000224
